,Year,High
0,1800.0,27.893
1,1801.0,28.695
2,1802.0,28.554
3,1803.0,29.512
4,1804.0,29.425
5,1805.0,29.609
6,1806.0,28.6
7,1807.0,28.336
8,1808.0,28.521
9,1809.0,27.135
10,1810.0,26.653
11,1811.0,27.53
12,1812.0,28.981
13,1813.0,28.001
14,1814.0,27.128
15,1815.0,28.536
16,1816.0,26.854
17,1817.0,27.735
18,1818.0,27.7
19,1819.0,26.854
20,1820.0,27.542
21,1821.0,28.835
22,1822.0,29.246
23,1823.0,30.002
24,1824.0,30.391
25,1825.0,29.797
26,1826.0,30.18
27,1827.0,30.649
28,1828.0,30.534
29,1829.0,30.375
30,1830.0,31.218
31,1831.0,29.638
32,1832.0,29.771
33,1833.0,29.793
34,1834.0,30.264
35,1835.0,30.765
36,1836.0,31.218
37,1837.0,31.699
38,1838.0,32.529
39,1839.0,32.272
40,1840.0,32.202
41,1841.0,32.674
42,1842.0,31.257
43,1843.0,31.461
44,1844.0,31.865
45,1845.0,32.275
46,1846.0,32.826
47,1847.0,31.919
48,1848.0,31.722
49,1849.0,34.023
50,1850.0,34.171
51,1851.0,32.693
52,1852.0,33.084
53,1853.0,33.669
54,1854.0,33.93
55,1855.0,33.137
56,1856.0,34.043
57,1857.0,32.503
58,1858.0,32.451
59,1859.0,31.784
60,1860.0,32.125
61,1861.0,34.311
62,1862.0,33.492
63,1863.0,32.828
64,1864.0,33.856
65,1865.0,32.76
66,1866.0,32.978
67,1867.0,33.53
68,1868.0,32.517
69,1869.0,33.061
70,1870.0,32.3
71,1871.0,33.619
72,1872.0,31.561
73,1873.0,33.211
74,1874.0,32.671
75,1875.0,32.191
76,1876.0,33.143
77,1877.0,33.246
78,1878.0,33.702
79,1879.0,32.656
80,1880.0,31.95
81,1881.0,32.281
82,1882.0,32.903
83,1883.0,32.108
84,1884.0,32.23
85,1885.0,31.786
86,1886.0,33.151
87,1887.0,32.529
88,1888.0,32.811
89,1889.0,33.275
90,1890.0,32.848
91,1891.0,32.921
92,1892.0,31.969
93,1893.0,32.757
94,1894.0,32.458
95,1895.0,31.737
96,1896.0,31.394
97,1897.0,32.018
98,1898.0,32.476
99,1899.0,32.123
100,1900.0,32.788
101,1901.0,33.41
102,1902.0,31.503
103,1903.0,32.638
104,1904.0,31.597
105,1905.0,32.802
106,1906.0,32.914
107,1907.0,32.134
108,1908.0,31.701
109,1909.0,32.183
110,1910.0,32.241
111,1911.0,31.431
112,1912.0,30.824
113,1913.0,31.105
114,1914.0,31.777
115,1915.0,31.896
116,1916.0,31.692
117,1917.0,32.197
118,1918.0,31.734
119,1919.0,31.415
120,1920.0,32.714
121,1921.0,31.355
122,1922.0,32.748
123,1923.0,31.484
124,1924.0,32.168
125,1925.0,32.765
126,1926.0,31.946
127,1927.0,32.739
128,1928.0,32.823
129,1929.0,32.363
130,1930.0,31.909
131,1931.0,33.722
132,1932.0,32.208
133,1933.0,33.69
134,1934.0,33.274
135,1935.0,32.217
136,1936.0,32.99
137,1937.0,32.732
138,1938.0,31.687
139,1939.0,32.873
140,1940.0,32.66
141,1941.0,31.539
142,1942.0,33.354
143,1943.0,32.759
144,1944.0,32.351
145,1945.0,32.409
146,1946.0,31.996
147,1947.0,33.214
148,1948.0,32.359
149,1949.0,32.063
150,1950.0,31.358
151,1951.0,33.186
152,1952.0,32.235
153,1953.0,32.534
154,1954.0,32.432
155,1955.0,30.253
156,1956.0,31.593
157,1957.0,33.158
158,1958.0,33.022
159,1959.0,33.591
160,1960.0,33.028
161,1961.0,32.718
162,1962.0,33.066
163,1963.0,33.175
164,1964.0,32.76
165,1965.0,32.255
166,1966.0,32.828
167,1967.0,32.329
168,1968.0,31.247
169,1969.0,33.566
170,1970.0,33.434
171,1971.0,33.293
172,1972.0,33.382
173,1973.0,32.285
174,1974.0,31.713
175,1975.0,32.086
176,1976.0,31.68
177,1977.0,32.861
178,1978.0,32.832
179,1979.0,32.223
180,1980.0,33.533
181,1981.0,32.744
182,1982.0,31.887
183,1983.0,32.426
184,1984.0,31.093
185,1985.0,32.671
186,1986.0,32.242
187,1987.0,31.264
188,1988.0,32.834
189,1989.0,33.436
190,1990.0,31.83
191,1991.0,31.934
192,1992.0,31.388
193,1993.0,31.327
194,1994.0,33.513
195,1995.0,33.443
196,1996.0,33.431
197,1997.0,32.429
198,1998.0,33.069
199,1999.0,31.951
200,2000.0,33.237
201,2001.0,32.566
202,2002.0,33.274
203,2003.0,34.034
204,2004.0,32.544
205,2005.0,33.856
206,2006.0,33.746
207,2007.0,33.176
208,2008.0,32.684
209,2009.0,34.379
210,2010.0,33.683
211,2011.0,34.236
212,2012.0,32.941
