,Year,Low
0,1800.0,-12.818
1,1801.0,-12.391
2,1802.0,-10.654
3,1803.0,-14.202
4,1804.0,-13.327
5,1805.0,-13.048
6,1806.0,-12.544
7,1807.0,-14.29
8,1808.0,-12.402
9,1809.0,-15.797
10,1810.0,-14.34
11,1811.0,-13.175
12,1812.0,-16.074
13,1813.0,-15.635
14,1814.0,-14.442
15,1815.0,-13.554
16,1816.0,-13.863
17,1817.0,-15.69
18,1818.0,-14.838
19,1819.0,-14.331
20,1820.0,-18.111
21,1821.0,-15.264
22,1822.0,-15.773
23,1823.0,-15.485
24,1824.0,-12.885
25,1825.0,-12.015
26,1826.0,-12.861
27,1827.0,-11.662
28,1828.0,-17.738
29,1829.0,-18.441
30,1830.0,-12.613
31,1831.0,-16.011
32,1832.0,-16.284
33,1833.0,-15.856
34,1834.0,-17.749
35,1835.0,-18.1
36,1836.0,-16.861
37,1837.0,-15.921
38,1838.0,-17.474
39,1839.0,-16.441
40,1840.0,-18.732
41,1841.0,-16.731
42,1842.0,-16.302
43,1843.0,-18.083
44,1844.0,-16.536
45,1845.0,-15.417
46,1846.0,-9.953
47,1847.0,-16.155
48,1848.0,-17.694
49,1849.0,-16.824
50,1850.0,-18.918
51,1851.0,-16.422
52,1852.0,-17.071
53,1853.0,-15.395
54,1854.0,-16.946
55,1855.0,-13.928
56,1856.0,-17.809
57,1857.0,-19.638
58,1858.0,-17.337
59,1859.0,-15.651
60,1860.0,-17.118
61,1861.0,-18.149
62,1862.0,-17.96
63,1863.0,-16.332
64,1864.0,-16.44
65,1865.0,-15.929
66,1866.0,-15.611
67,1867.0,-16.474
68,1868.0,-17.42
69,1869.0,-14.2
70,1870.0,-14.979
71,1871.0,-16.909
72,1872.0,-16.658
73,1873.0,-18.491
74,1874.0,-16.66
75,1875.0,-20.95
76,1876.0,-16.673
77,1877.0,-16.499
78,1878.0,-16.921
79,1879.0,-16.415
80,1880.0,-17.217
81,1881.0,-19.075
82,1882.0,-17.574
83,1883.0,-19.908
84,1884.0,-17.498
85,1885.0,-18.333
86,1886.0,-21.928
87,1887.0,-20.188
88,1888.0,-20.621
89,1889.0,-15.602
90,1890.0,-18.24
91,1891.0,-15.492
92,1892.0,-15.099
93,1893.0,-19.339
94,1894.0,-19.444
95,1895.0,-17.857
96,1896.0,-21.694
97,1897.0,-14.524
98,1898.0,-15.738
99,1899.0,-16.701
100,1900.0,-19.308
101,1901.0,-17.178
102,1902.0,-20.831
103,1903.0,-20.199
104,1904.0,-18.19
105,1905.0,-15.727
106,1906.0,-25.163
107,1907.0,-19.896
108,1908.0,-13.921
109,1909.0,-22.067
110,1910.0,-18.448
111,1911.0,-18.745
112,1912.0,-21.994
113,1913.0,-19.786
114,1914.0,-16.209
115,1915.0,-16.656
116,1916.0,-18.56
117,1917.0,-24.256
118,1918.0,-17.238
119,1919.0,-18.215
120,1920.0,-19.407
121,1921.0,-19.773
122,1922.0,-14.639
123,1923.0,-18.163
124,1924.0,-16.942
125,1925.0,-21.747
126,1926.0,-15.13
127,1927.0,-15.81
128,1928.0,-12.218
129,1929.0,-19.006
130,1930.0,-18.059
131,1931.0,-14.942
132,1932.0,-20.924
133,1933.0,-22.652
134,1934.0,-20.035
135,1935.0,-17.041
136,1936.0,-20.585
137,1937.0,-17.235
138,1938.0,-16.954
139,1939.0,-16.774
140,1940.0,-15.279
141,1941.0,-15.464
142,1942.0,-21.942
143,1943.0,-19.09
144,1944.0,-13.795
145,1945.0,-15.787
146,1946.0,-20.62
147,1947.0,-24.588
148,1948.0,-20.207
149,1949.0,-19.535
150,1950.0,-17.842
151,1951.0,-19.089
152,1952.0,-20.269
153,1953.0,-18.548
154,1954.0,-20.788
155,1955.0,-18.328
156,1956.0,-21.677
157,1957.0,-18.446
158,1958.0,-14.132
159,1959.0,-17.622
160,1960.0,-12.961
161,1961.0,-21.45
162,1962.0,-15.257
163,1963.0,-16.655
164,1964.0,-22.036
165,1965.0,-17.63
166,1966.0,-18.052
167,1967.0,-17.598
168,1968.0,-19.931
169,1969.0,-20.781
170,1970.0,-19.898
171,1971.0,-24.159
172,1972.0,-19.791
173,1973.0,-21.604
174,1974.0,-18.906
175,1975.0,-17.595
176,1976.0,-16.425
177,1977.0,-18.974
178,1978.0,-16.566
179,1979.0,-19.674
180,1980.0,-22.451
181,1981.0,-14.514
182,1982.0,-19.018
183,1983.0,-17.467
184,1984.0,-14.518
185,1985.0,-15.751
186,1986.0,-10.64
187,1987.0,-14.487
188,1988.0,-14.179
189,1989.0,-23.169
190,1990.0,-21.535
191,1991.0,-15.02
192,1992.0,-16.123
193,1993.0,-15.587
194,1994.0,-17.935
195,1995.0,-13.684
196,1996.0,-19.447
197,1997.0,-15.436
198,1998.0,-15.239
199,1999.0,-18.853
200,2000.0,-15.38
201,2001.0,-17.825
202,2002.0,-9.37
203,2003.0,-14.029
204,2004.0,-17.789
205,2005.0,-14.122
206,2006.0,-17.973
207,2007.0,-15.143
208,2008.0,-15.634
209,2009.0,-16.273
210,2010.0,-17.981
211,2011.0,-15.741
212,2012.0,-22.628
